"token_id","from_address","to_address","name","image","description","zone","size","type","poi","xlsx_size"
"5071107","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x005F1E7c981F35b05C8582d682aa9d32eEc301f4","The Hub","HUB_1107.jpg","By day, The Hub is a utopian fusion of fluidity and smoothness - by night, a cyberpunk melting pot of neon hum and electric energy. It is the central zone; the heartbeat of the Cryptoverse and home to the ChainGuardians head office. The Hub is designed to be the highest area of traffic and an amalgam of much of the beauty of the different Zones.","HUB","Small","Estate","","175258"
"5031156","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x01a2aCFC147677852492Bb58bd40259e927fB9De","Entertainment","ENT_1156.jpg","The Game & Entertainment Zone will empower users to enjoy a plethora of adventures, including: opportunities to explore, create, discover a multitude of games and a variety of entertainment experiences. It is also the home of two cornerstones of The Cryptoverse: Little Vegas and The PvP Dome.","ENT","Small","Estate","Little Vegas","183033"
"5071280","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x0258CA807B6473358bA5FCc9410fe1Aa5b777aC2","The Hub","HUB_1280.jpg","By day, The Hub is a utopian fusion of fluidity and smoothness - by night, a cyberpunk melting pot of neon hum and electric energy. It is the central zone; the heartbeat of the Cryptoverse and home to the ChainGuardians head office. The Hub is designed to be the highest area of traffic and an amalgam of much of the beauty of the different Zones.","HUB","Small","Estate","Lake","240356"
"5071270","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x027F76E51EdbD018C9f40D833c9Dddb30BA8e496","The Hub","HUB_1270.jpg","By day, The Hub is a utopian fusion of fluidity and smoothness - by night, a cyberpunk melting pot of neon hum and electric energy. It is the central zone; the heartbeat of the Cryptoverse and home to the ChainGuardians head office. The Hub is designed to be the highest area of traffic and an amalgam of much of the beauty of the different Zones.","HUB","Small","Estate","","236854"
"5070602","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x051C29f2a1E38B703f0e378199460CC78342926e","The Hub","HUB_602.jpg","By day, The Hub is a utopian fusion of fluidity and smoothness - by night, a cyberpunk melting pot of neon hum and electric energy. It is the central zone; the heartbeat of the Cryptoverse and home to the ChainGuardians head office. The Hub is designed to be the highest area of traffic and an amalgam of much of the beauty of the different Zones.","HUB","Small","Estate","","69276.3"
"5060386","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x05377e8833340628434EF89AA74464a4E10fF2C9","High Culture 3","HS3_386.jpg","The High Culture Zone is constructed of three floating islands which will slowly rotate and reside above The Hub; therefore expect awe-inspiring panoramic views. This Zone will showcase: exclusive art, fashion, music and theatrical events. It is a sophisticated cultural zone where users can explore sculpture gardens, open-air theatres and view exclusive art galleries.","HS3","Small","Estate","Sky view","236462"
"5071278","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x0614df7b20358197e9eB298F3817BD60B1a927cB","The Hub","HUB_1278.jpg","By day, The Hub is a utopian fusion of fluidity and smoothness - by night, a cyberpunk melting pot of neon hum and electric energy. It is the central zone; the heartbeat of the Cryptoverse and home to the ChainGuardians head office. The Hub is designed to be the highest area of traffic and an amalgam of much of the beauty of the different Zones.","HUB","Small","Estate","","239900"
"5071290","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x08BB4449DCd9cBAECF6Ca29Fd7eEe51a6c62E1Be","The Hub","HUB_1290.jpg","By day, The Hub is a utopian fusion of fluidity and smoothness - by night, a cyberpunk melting pot of neon hum and electric energy. It is the central zone; the heartbeat of the Cryptoverse and home to the ChainGuardians head office. The Hub is designed to be the highest area of traffic and an amalgam of much of the beauty of the different Zones.","HUB","Small","Estate","","244253"
"5071128","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x08e305F123FaFf04A6A24243f47984A7A9702417","The Hub","HUB_1128.jpg","By day, The Hub is a utopian fusion of fluidity and smoothness - by night, a cyberpunk melting pot of neon hum and electric energy. It is the central zone; the heartbeat of the Cryptoverse and home to the ChainGuardians head office. The Hub is designed to be the highest area of traffic and an amalgam of much of the beauty of the different Zones.","HUB","Small","Estate","Central Business District","181765"
"5090547","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x08e305F123FaFf04A6A24243f47984A7A9702417","Underworld 1","UW1_547.jpg","The Underworld is segmented into three levels, with the upper-most level being dedicated to underwater activities including the opportunity to swim with marine life and experience submarine tours of azure blue oceans. The second and third levels of The Underworld are composed of not-safe-for-work (NSFW) content where strip clubs and other edgy extra-curricular activities are to be expected.","UW1","Small","Estate","Underworld Elevator","60102.1"
"5080011","0x28cD2990F34db387D011D7cC693A2Bcedd8dc654","0x097b266f59bea68D0E16D4f371010be6cFA4F45f","Kolland","KOL_11.jpg","Kolland is an exclusive media-centric zone which is adjacent to Founderland. This island will be split into two notable areas: the first, a city zone full of sophisticated high tech where the discerning influencers can network, research, endorse and, of course, communicate with their communities. The second area surrounding the glamorous city hub is the luxurious residential area known as Kolland Drive. Here, Key Opinion Leaders and their guests will be able to relax in chic sci-fi surroundings.","KOL","Small","Estate","Beach","21787.2"
